month,Cerrada,En trámite,Acciones
2017-04,19.0,0.0,22
2017-05,18.0,0.0,67
2017-06,6.0,0.0,36
2017-07,58.0,0.0,113
2017-08,4.0,0.0,99
2017-09,25.0,0.0,44
2017-10,13.0,0.0,43
2017-11,13.0,0.0,32
2017-12,1.0,0.0,12
2018-01,30.0,0.0,58
2018-02,31.0,0.0,109
2018-03,37.0,0.0,55
2018-04,5.0,0.0,16
2018-05,53.0,0.0,99
2018-06,21.0,0.0,89
2018-07,24.0,0.0,48
2018-08,68.0,0.0,78
2018-09,90.0,0.0,167
2018-10,24.0,0.0,119
2018-11,11.0,0.0,55
2018-12,1.0,0.0,24
2019-01,8.0,0.0,32
2019-02,6.0,0.0,12
2019-03,38.0,0.0,58
2019-04,39.0,11.0,100
2019-05,7.0,0.0,107
2019-06,2.0,0.0,13
2019-07,48.0,10.0,109
2019-08,35.0,1.0,76
2019-09,27.0,0.0,80
2019-10,35.0,4.0,135
2019-11,94.0,40.0,139
2019-12,42.0,24.0,180
2020-01,11.0,18.0,69
2020-02,24.0,23.0,43
2020-03,4.0,4.0,33
2020-04,1.0,168.0,52
2020-05,5.0,7.0,8
2020-06,0.0,16.0,40
