"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,70,"SLV","El Salvador",1,"Ahuachapán","Departamento","Department",NA,NA
2,70,"SLV","El Salvador",2,"Cabañas","Departamento","Department",NA,NA
3,70,"SLV","El Salvador",3,"Chalatenango","Departamento","Department",NA,NA
4,70,"SLV","El Salvador",4,"Cuscatlán","Departamento","Department",NA,NA
5,70,"SLV","El Salvador",5,"La Libertad","Departamento","Department",NA,NA
6,70,"SLV","El Salvador",6,"La Paz","Departamento","Department",NA,NA
7,70,"SLV","El Salvador",7,"La Unión","Departamento","Department",NA,NA
8,70,"SLV","El Salvador",8,"Morazán","Departamento","Department",NA,NA
9,70,"SLV","El Salvador",9,"San Miguel","Departamento","Department",NA,NA
10,70,"SLV","El Salvador",10,"San Salvador","Departamento","Department",NA,NA
11,70,"SLV","El Salvador",11,"San Vicente","Departamento","Department",NA,NA
12,70,"SLV","El Salvador",12,"Santa Ana","Departamento","Department",NA,NA
13,70,"SLV","El Salvador",13,"Sonsonate","Departamento","Department",NA,NA
14,70,"SLV","El Salvador",14,"Usulután","Departamento","Department",NA,NA
